"[[4 3 4 3]
 [4 3 5 2]]","[-13, 10]",23,"[-13, 10]",23,"[-13, 10]",23,"[-15, 12]",27,"[-13, 10]",23,"[-15, 12]",27
"[[1 6 1 6]
 [3 4 4 3]]","[-12, 9]",21,"[-13, 10]",23,"[-12, 9]",21,"[-13, 11]",24,"[-12, 9]",21,"[-13, 11]",24
"[[2 5 1 6]
 [5 2 3 4]]","[-6, 16]",22,"[-7, 16]",23,"[-6, 15]",21,"[-8, 16]",24,"[-6, 15]",21,"[-8, 16]",24
"[[4 3 4 3]
 [4 3 3 4]]","[-10, 13]",23,"[-10, 13]",23,"[-9, 13]",22,"[-11, 14]",25,"[-9, 12]",21,"[-11, 14]",25
"[[5 2 6 1]
 [2 5 3 4]]","[-14, 8]",22,"[-14, 8]",22,"[-14, 8]",22,"[-15, 10]",25,"[-14, 8]",22,"[-15, 10]",25
"[[1 6 3 4]
 [3 4 4 3]]","[-15, 6]",21,"[-15, 7]",22,"[-15, 6]",21,"[-17, 8]",25,"[-15, 6]",21,"[-17, 8]",25
"[[2 5 2 5]
 [5 2 5 2]]","[-11, 11]",22,"[-11, 11]",22,"[-11, 11]",22,"[-12, 12]",24,"[-11, 11]",22,"[-12, 12]",24
"[[5 2 4 3]
 [5 2 5 2]]","[-9, 12]",21,"[-10, 12]",22,"[-9, 12]",21,"[-10, 13]",23,"[-9, 12]",21,"[-10, 13]",23
"[[3 4 2 5]
 [2 5 2 5]]","[-10, 13]",23,"[-10, 13]",23,"[-9, 12]",21,"[-10, 14]",24,"[-9, 12]",21,"[-10, 14]",24
"[[3 4 3 4]
 [4 3 2 5]]","[-8, 14]",22,"[-9, 14]",23,"[-8, 14]",22,"[-11, 16]",27,"[-8, 14]",22,"[-11, 16]",27
"[[5 2 6 1]
 [2 5 2 5]]","[-12, 10]",22,"[-12, 10]",22,"[-12, 10]",22,"[-13, 11]",24,"[-12, 9]",21,"[-13, 11]",24
"[[4 3 5 2]
 [3 4 4 3]]","[-14, 8]",22,"[-14, 8]",22,"[-13, 7]",20,"[-15, 9]",24,"[-13, 7]",20,"[-15, 9]",24
"[[5 2 4 3]
 [2 5 2 5]]","[-9, 13]",22,"[-10, 13]",23,"[-9, 12]",21,"[-11, 14]",25,"[-9, 12]",21,"[-11, 14]",25
"[[3 4 2 5]
 [3 4 4 3]]","[-11, 12]",23,"[-12, 11]",23,"[-11, 11]",22,"[-12, 12]",24,"[-11, 11]",22,"[-12, 12]",24
"[[1 6 2 5]
 [3 4 5 2]]","[-15, 6]",21,"[-15, 7]",22,"[-15, 6]",21,"[-16, 8]",24,"[-15, 6]",21,"[-16, 8]",24
"[[3 4 4 3]
 [5 2 7 0]]","[-15, 6]",21,"[-15, 7]",22,"[-15, 5]",20,"[-16, 7]",23,"[-15, 5]",20,"[-16, 7]",23
"[[6 1 4 3]
 [3 4 3 4]]","[-8, 14]",22,"[-9, 15]",24,"[-8, 14]",22,"[-10, 16]",26,"[-7, 14]",21,"[-10, 16]",26
"[[4 3 5 2]
 [2 5 2 5]]","[-14, 10]",24,"[-13, 10]",23,"[-13, 10]",23,"[-15, 13]",28,"[-13, 10]",23,"[-15, 13]",28
"[[4 3 4 3]
 [4 3 4 3]]","[-12, 12]",24,"[-11, 11]",22,"[-12, 12]",24,"[-13, 13]",26,"[-12, 12]",24,"[-13, 13]",26
"[[5 2 2 5]
 [3 4 4 3]]","[-8, 14]",22,"[-10, 15]",25,"[-8, 14]",22,"[-10, 14]",24,"[-8, 14]",22,"[-10, 14]",24
"[[5 2 2 5]
 [2 5 4 3]]","[-11, 13]",24,"[-11, 14]",25,"[-10, 12]",22,"[-12, 13]",25,"[-10, 12]",22,"[-12, 13]",25
"[[5 2 5 2]
 [6 1 4 3]]","[-9, 15]",24,"[-9, 15]",24,"[-9, 15]",24,"[-11, 16]",27,"[-9, 14]",23,"[-11, 16]",27
"[[5 2 4 3]
 [3 4 3 4]]","[-10, 13]",23,"[-10, 13]",23,"[-10, 13]",23,"[-11, 13]",24,"[-9, 13]",22,"[-11, 13]",24
"[[2 5 4 3]
 [2 5 4 3]]","[-17, 5]",22,"[-17, 5]",22,"[-17, 5]",22,"[-18, 7]",25,"[-17, 4]",21,"[-18, 7]",25
"[[5 2 6 1]
 [2 5 3 4]]","[-14, 8]",22,"[-14, 8]",22,"[-14, 8]",22,"[-15, 10]",25,"[-14, 7]",21,"[-15, 10]",25
"[[4 3 2 5]
 [3 4 2 5]]","[-7, 16]",23,"[-8, 16]",24,"[-7, 16]",23,"[-9, 17]",26,"[-7, 16]",23,"[-9, 17]",26
"[[2 5 3 4]
 [5 2 2 5]]","[-8, 15]",23,"[-10, 15]",25,"[-8, 15]",23,"[-10, 15]",25,"[-9, 15]",24,"[-10, 15]",25
