"[[7 2 2 7]
 [6 3 1 8]]","[2, 28]","[6, 28]","[3, 28]","[6, 26]"

"[[7 2 0 9]
 [7 2 1 8]]","[9, 31]","[13, 31]","[11, 31]","[16, 30]"

"[[9 0 2 7]
 [7 2 4 5]]","[3, 28]","[6, 27]","[6, 28]","[8, 26]"

"[[ 7  3  2  8]
 [10  0  3  7]]","[7, 32]","[9, 32]","[7, 31]","[12, 31]"

"[[7 3 2 8]
 [9 1 3 7]]","[4, 31]","[7, 31]","[4, 31]","[9, 29]"

"[[ 8  2  4  6]
 [ 9  1  0 10]]","[9, 33]","[12, 33]","[11, 33]","[14, 32]"

"[[8 2 2 8]
 [7 3 2 8]]","[4, 31]","[7, 31]","[6, 30]","[9, 29]"

"[[10  0  2  8]
 [ 8  2  2  8]]","[11, 34]","[14, 34]","[13, 34]","[16, 33]"

"[[9 1 2 8]
 [9 1 3 7]]","[8, 33]","[11, 33]","[9, 33]","[15, 32]"

"[[9 1 3 7]
 [8 2 1 9]]","[8, 33]","[12, 33]","[11, 33]","[14, 32]"

"[[ 9  1  2  8]
 [ 5  5  0 10]]","[7, 32]","[9, 31]","[8, 32]","[10, 30]"

"[[8 2 1 9]
 [7 3 2 8]]","[6, 32]","[9, 32]","[6, 32]","[11, 31]"

"[[ 8  2  0 10]
 [ 7  3  2  8]]","[9, 33]","[11, 33]","[8, 33]","[15, 32]"

"[[7 3 3 7]
 [9 1 2 8]]","[4, 31]","[7, 31]","[5, 31]","[10, 29]"

"[[9 1 2 8]
 [8 2 1 9]]","[10, 34]","[14, 34]","[14, 34]","[16, 33]"

"[[8 2 4 6]
 [9 1 2 8]]","[4, 31]","[7, 30]","[6, 30]","[7, 29]"

"[[8 2 1 9]
 [8 2 1 9]]","[10, 34]","[14, 34]","[13, 34]","[17, 34]"

"[[8 2 1 9]
 [8 2 2 8]]","[8, 33]","[12, 33]","[9, 33]","[14, 32]"

"[[9 1 1 9]
 [8 2 2 8]]","[10, 34]","[14, 34]","[13, 34]","[16, 34]"

"[[8 2 3 7]
 [8 2 3 7]]","[2, 30]","[5, 29]","[3, 29]","[6, 28]"

"[[9 2 3 8]
 [9 2 2 9]]","[7, 35]","[10, 35]","[9, 35]","[12, 33]"

"[[10  1  3  8]
 [ 7  4  2  9]]","[5, 34]","[8, 34]","[8, 33]","[10, 31]"

"[[ 8  3  2  9]
 [10  1  3  8]]","[7, 35]","[10, 35]","[9, 34]","[12, 33]"

"[[11  0  2  9]
 [11  0  5  6]]","[13, 37]","[17, 36]","[14, 36]","[18, 36]"

"[[10  1  3  8]
 [ 8  3  0 11]]","[12, 37]","[15, 37]","[13, 37]","[19, 35]"

"[[10  1  2  9]
 [ 9  2  2  9]]","[12, 37]","[15, 37]","[16, 37]","[18, 36]"

