"[[4 2 3 3]
 [6 0 0 6]]","[0, 19]","[2, 19]","[3, 19]","[5, 18]"
"[[4 2 2 4]
 [6 0 0 6]]","[2, 20]","[4, 20]","[3, 20]","[7, 20]"
"[[6 0 2 4]
 [6 0 0 6]]","[6, 22]","[9, 22]","[8, 22]","[11, 22]"
"[[2 4 3 3]
 [6 0 0 6]]","[-4, 17]","[-2, 17]","[-3, 17]","[-1, 16]"
"[[2 4 0 6]
 [6 0 0 6]]","[2, 20]","[5, 20]","[6, 20]","[7, 20]"
"[[5 1 3 3]
 [6 0 0 6]]","[2, 20]","[4, 20]","[0, 20]","[7, 20]"
"[[4 2 3 3]
 [6 0 0 6]]","[0, 19]","[2, 19]","[-1, 19]","[2, 19]"
"[[3 3 2 4]
 [6 0 0 6]]","[0, 19]","[2, 19]","[1, 19]","[3, 18]"
"[[4 2 4 2]
 [6 0 0 6]]","[-2, 18]","[0, 18]","[-1, 18]","[1, 17]"
"[[6 0 3 3]
 [6 0 0 6]]","[4, 21]","[7, 21]","[5, 21]","[9, 21]"
"[[4 2 2 4]
 [6 0 0 6]]","[2, 20]","[4, 20]","[3, 20]","[8, 20]"
"[[5 1 5 1]
 [6 0 0 6]]","[-1, 18]","[0, 18]","[-1, 17]","[2, 17]"
"[[3 3 1 5]
 [6 0 0 6]]","[2, 20]","[4, 20]","[6, 20]","[6, 20]"
"[[5 1 4 2]
 [6 0 0 6]]","[0, 19]","[2, 19]","[3, 19]","[4, 19]"
"[[2 4 2 4]
 [6 0 0 6]]","[-2, 18]","[0, 18]","[2, 18]","[2, 17]"
"[[2 4 2 4]
 [6 0 0 6]]","[-2, 18]","[0, 18]","[2, 18]","[1, 17]"
"[[5 1 3 3]
 [6 0 0 6]]","[2, 20]","[4, 20]","[3, 20]","[5, 20]"
"[[2 4 1 5]
 [6 0 0 6]]","[0, 19]","[2, 19]","[0, 19]","[6, 18]"
"[[5 1 4 2]
 [6 0 0 6]]","[0, 19]","[2, 19]","[5, 19]","[2, 19]"
"[[5 1 5 1]
 [6 0 0 6]]","[-1, 18]","[0, 18]","[2, 18]","[3, 17]"
"[[4 2 2 4]
 [6 0 0 6]]","[2, 20]","[4, 20]","[5, 20]","[7, 20]"
"[[4 2 2 4]
 [6 0 0 6]]","[2, 20]","[4, 20]","[4, 20]","[7, 20]"
"[[2 4 3 3]
 [6 0 0 6]]","[-4, 17]","[-2, 17]","[1, 17]","[0, 16]"
"[[4 2 2 4]
 [6 0 0 6]]","[2, 20]","[4, 20]","[3, 20]","[6, 20]"
"[[5 2 5 2]
 [7 0 0 7]]","[-1, 21]","[2, 21]","[3, 21]","[2, 20]"
"[[3 3 4 2]
 [6 0 0 6]]","[-4, 17]","[-2, 17]","[0, 17]","[-2, 16]"
"[[4 2 2 4]
 [6 0 0 6]]","[2, 20]","[4, 20]","[5, 20]","[5, 20]"
"[[3 3 4 2]
 [6 0 0 6]]","[-4, 17]","[-2, 17]","[1, 17]","[0, 16]"
"[[3 3 4 2]
 [6 0 0 6]]","[-4, 17]","[-2, 17]","[-1, 17]","[0, 16]"
"[[2 4 2 4]
 [6 0 0 6]]","[-2, 18]","[0, 18]","[3, 18]","[2, 17]"
"[[7 0 4 3]
 [7 0 0 7]]","[6, 24]","[9, 24]","[7, 24]","[10, 24]"
"[[3 3 2 4]
 [6 0 0 6]]","[0, 19]","[2, 19]","[2, 19]","[3, 19]"
"[[5 1 2 4]
 [6 0 0 6]]","[4, 21]","[6, 21]","[5, 21]","[9, 21]"
"[[4 2 4 2]
 [6 0 0 6]]","[-2, 18]","[0, 18]","[2, 18]","[1, 18]"
"[[6 0 2 4]
 [6 0 0 6]]","[6, 22]","[9, 22]","[9, 22]","[11, 22]"
"[[5 2 3 4]
 [7 0 0 7]]","[3, 23]","[6, 23]","[6, 23]","[8, 22]"
"[[4 2 2 4]
 [6 0 0 6]]","[2, 20]","[4, 20]","[5, 20]","[8, 20]"
"[[4 2 1 5]
 [6 0 0 6]]","[4, 21]","[6, 21]","[7, 21]","[10, 21]"
"[[5 1 3 3]
 [6 0 0 6]]","[2, 20]","[4, 20]","[3, 20]","[4, 20]"
"[[4 3 5 2]
 [7 0 0 7]]","[-2, 20]","[0, 20]","[2, 20]","[1, 18]"
"[[4 2 3 3]
 [6 0 0 6]]","[0, 19]","[2, 19]","[3, 19]","[4, 19]"
"[[5 1 4 2]
 [6 0 0 6]]","[0, 19]","[2, 19]","[3, 19]","[5, 18]"
"[[3 3 2 4]
 [6 0 0 6]]","[0, 19]","[2, 19]","[2, 19]","[5, 19]"
"[[4 2 1 5]
 [6 0 0 6]]","[4, 21]","[6, 21]","[4, 21]","[9, 21]"
"[[2 5 2 5]
 [7 0 0 7]]","[-1, 21]","[2, 21]","[2, 21]","[3, 20]"
"[[5 1 2 4]
 [6 0 0 6]]","[4, 21]","[6, 21]","[6, 21]","[9, 21]"
"[[3 4 3 4]
 [7 0 0 7]]","[0, 21]","[2, 21]","[3, 21]","[3, 20]"
"[[6 1 4 3]
 [7 0 0 7]]","[3, 23]","[6, 23]","[3, 23]","[9, 23]"
"[[5 2 4 3]
 [7 0 0 7]]","[1, 22]","[4, 22]","[2, 22]","[5, 21]"
"[[4 3 2 5]
 [7 0 0 7]]","[3, 23]","[6, 23]","[7, 23]","[8, 23]"
"[[4 3 3 4]
 [7 0 0 7]]","[2, 22]","[4, 22]","[3, 22]","[6, 21]"
"[[4 3 2 5]
 [7 0 0 7]]","[3, 23]","[6, 23]","[5, 23]","[9, 23]"
"[[6 1 4 3]
 [7 0 0 7]]","[3, 23]","[6, 23]","[8, 23]","[8, 22]"
"[[5 2 4 3]
 [7 0 0 7]]","[1, 22]","[4, 22]","[4, 22]","[6, 21]"
"[[5 2 3 4]
 [7 0 0 7]]","[3, 23]","[6, 23]","[4, 23]","[7, 23]"
"[[5 2 5 2]
 [7 0 0 7]]","[-1, 21]","[2, 21]","[4, 20]","[3, 20]"
"[[7 0 4 3]
 [7 0 0 7]]","[6, 24]","[9, 24]","[3, 24]","[11, 24]"
"[[4 3 5 2]
 [7 0 0 7]]","[-2, 20]","[0, 20]","[1, 19]","[1, 18]"
"[[3 4 3 4]
 [7 0 0 7]]","[0, 21]","[2, 21]","[4, 21]","[2, 20]"
"[[4 3 4 3]
 [7 0 0 7]]","[0, 21]","[2, 21]","[3, 20]","[3, 20]"
"[[6 1 2 5]
 [7 0 0 7]]","[6, 25]","[10, 25]","[10, 25]","[13, 25]"
"[[4 3 2 5]
 [7 0 0 7]]","[3, 23]","[6, 23]","[6, 23]","[8, 23]"
"[[3 4 4 3]
 [7 0 0 7]]","[-2, 20]","[0, 20]","[2, 19]","[0, 19]"
"[[5 2 3 4]
 [7 0 0 7]]","[3, 23]","[6, 23]","[3, 23]","[8, 23]"
"[[4 3 5 2]
 [7 0 0 7]]","[-2, 20]","[0, 20]","[-2, 20]","[-1, 19]"
"[[2 5 1 6]
 [7 0 0 7]]","[1, 22]","[4, 22]","[0, 22]","[6, 21]"
"[[3 4 3 4]
 [7 0 0 7]]","[0, 21]","[2, 21]","[-1, 21]","[4, 20]"
"[[2 5 2 5]
 [7 0 0 7]]","[-1, 21]","[2, 21]","[3, 20]","[2, 20]"
"[[4 3 3 4]
 [7 0 0 7]]","[2, 22]","[4, 22]","[4, 22]","[5, 21]"
"[[1 6 1 6]
 [7 0 0 7]]","[0, 21]","[2, 20]","[3, 21]","[4, 19]"
"[[5 2 4 3]
 [7 0 0 7]]","[1, 22]","[4, 22]","[4, 22]","[6, 21]"
"[[6 1 4 3]
 [7 0 0 7]]","[3, 23]","[6, 23]","[4, 23]","[9, 23]"
"[[5 2 2 5]
 [7 0 0 7]]","[4, 24]","[8, 24]","[7, 24]","[9, 24]"
"[[4 3 3 4]
 [7 0 0 7]]","[2, 22]","[4, 22]","[5, 22]","[3, 22]"
"[[2 5 2 5]
 [7 0 0 7]]","[-1, 21]","[2, 21]","[3, 21]","[3, 19]"
"[[4 3 2 5]
 [7 0 0 7]]","[3, 23]","[6, 23]","[4, 23]","[6, 23]"
"[[5 2 6 1]
 [7 0 0 7]]","[-2, 20]","[0, 19]","[1, 19]","[1, 18]"
"[[3 4 3 4]
 [7 0 0 7]]","[0, 21]","[2, 21]","[3, 21]","[3, 19]"
"[[3 4 4 3]
 [7 0 0 7]]","[-2, 20]","[0, 20]","[2, 20]","[2, 19]"
"[[3 4 2 5]
 [7 0 0 7]]","[1, 22]","[4, 22]","[5, 22]","[5, 21]"
"[[4 3 4 3]
 [7 0 0 7]]","[0, 21]","[2, 21]","[-1, 21]","[3, 20]"
"[[2 5 2 5]
 [7 0 0 7]]","[-1, 21]","[2, 21]","[4, 21]","[3, 20]"
"[[4 3 3 4]
 [7 0 0 7]]","[2, 22]","[4, 22]","[2, 22]","[6, 22]"
"[[2 5 1 6]
 [7 0 0 7]]","[1, 22]","[4, 22]","[6, 21]","[5, 21]"
"[[4 3 5 2]
 [7 0 0 7]]","[-2, 20]","[0, 20]","[1, 19]","[2, 18]"
"[[2 5 2 5]
 [7 0 0 7]]","[-1, 21]","[2, 21]","[3, 20]","[2, 20]"
