"[[ 3 23  2  2]
 [ 4  2 30  4]]","[[ 4  1  3 22]
 [ 3 27  8  2]]","[-31.740792374555067, 16.540792374555064]",0.0,"[-34, 18]",0.008,"[-33, 20]",5.48991,"[-27, 16]",0.14787,"[-26, 12]",16.64058

"[[ 3 23  2  2]
 [ 4  2 30  4]]","[[ 5  0  4 21]
 [ 5 25  9  1]]","[-18.42494689912696, 10.158280232460289]",0.0,"[-30, 18]",0.01638,"[-26, 17]",6.83899,"[-26, 18]",0.18653,"[-24, 17]",11.66613

"[[ 2 24  0  4]
 [ 1 26  2  1]]","[[ 4  1  1 24]
 [22  3  0  5]]","[31.36540467648695, 67.03459532351306]",0.0,"[12, 55]",0.0075,"[19, 55]",1.0563,"[24, 55]",0.10678,"[29, 55]",18.24193

"[[ 3 23  2  2]
 [ 4  2 30  4]]","[[ 2  3  4 21]
 [ 5 25  8  2]]","[-45.91700598942755, 9.650339322760878]",0.004,"[-38, 14]",0.012,"[-40, 9]",5.08816,"[-35, 9]",0.19665,"[-32, 4]",52.3034

"[[ 3 23  2  2]
 [ 4  2 30  4]]","[[ 5  0  5 20]
 [ 5 25  8  2]]","[-18.55290134800467, 15.886234681338]",0.0,"[-29, 21]",0.012,"[-26, 20]",6.22905,"[-23, 19]",0.18711,"[-21, 20]",15.38524

"[[ 3 23  2  2]
 [ 4  2 30  4]]","[[ 4  1  4 21]
 [ 4 26 10  0]]","[-35.73283530436218, 4.799501971028853]",0.0,"[-37, 9]",0.008,"[-35, 10]",5.3023,"[-33, 8]",0.15077,"[-31, 5]",27.82991

"[[ 2 24  0  4]
 [ 1 26  2  1]]","[[ 4  1  2 23]
 [22  3  0  5]]","[29.88331593143751, 66.11668406856249]",0.0,"[11, 54]",0.008,"[18, 55]",0.82626,"[21, 54]",0.076,"[29, 54]",25.43762

"[[10 10 10 10]
 [10 10 10 10]]","[[ 4  6 15 15]
 [ 5  5 14 16]]","[-32.343914930008864, 27.010581596675536]",0.0,"[-29, 25]",0.012,"[-25, 21]",12.18853,"[-27, 22]",0.57087,"[-21, 16]",198.30919

"[[ 3  8  4  5]
 [ 0 19  1  0]]","[[ 9  6  2  3]
 [14  1  0  5]]","[6.8321661228750425, 38.50116721045829]",0.0,"[2, 31]",0.008,"[4, 31]",0.97756,"[4, 31]",0.04001,"[8, 29]",4.22367

"[[ 3  8  4  5]
 [ 0 19  1  0]]","[[ 9  6  2  3]
 [15  0  1  4]]","[1.0263453841334957, 38.97365461586651]",0.0,"[0, 31]",0.008,"[3, 31]",0.90706,"[4, 30]",0.04002,"[6, 28]",2.09401

"[[ 3 23  2  2]
 [ 4  2 30  4]]","[[ 4  1  3 22]
 [ 3 27  8  2]]","[-31.740792374555067, 16.540792374555064]",0.0,"[-34, 18]",0.016,"[-33, 20]",5.95478,"[-27, 15]",0.22084,"[-24, 14]",15.51918

